ID	Label	Type	Class Type	Parent	Synonyms	Additional Axiom
NCBITaxon:11234	Measles morbillivirus	owl:Class		organism	Measles virus	
NCBITaxon:11240	Phocine morbillivirus	owl:Class		organism		
NCBITaxon:11241	Rinderpest morbillivirus	owl:Class		organism	Rinderpest virus	
NCBITaxon:11246	Bovine orthopneumovirus	owl:Class		organism		
NCBITaxon:11250	Human orthopneumovirus	owl:Class		organism	Human respiratory syncytial virus	
NCBITaxon:11292	Rabies lyssavirus	owl:Class		organism		
NCBITaxon:11303	Bovine ephemeral fever virus	owl:Class		organism		
NCBITaxon:11320	Influenza A virus	owl:Class		organism		
NCBITaxon:114727	H1N1 subtype	owl:Class		organism		
NCBITaxon:114728	H1N2 subtype	owl:Class		organism		
NCBITaxon:114732	H2N8 subtype	owl:Class		organism		
NCBITaxon:114742	Pythium insidiosum	owl:Class		organism		
NCBITaxon:11520	Influenza B virus	owl:Class		organism		
NCBITaxon:11588	Rift Valley fever virus	owl:Class		organism		
NCBITaxon:11605	Puumala virus Hallnas B1	owl:Class		organism		
NCBITaxon:1160947	Norovirus GIV.1	owl:Class		organism		
NCBITaxon:11620	Lassa mammarenavirus	owl:Class		organism		
NCBITaxon:11622	Lassa virus Josiah	owl:Class		organism		
NCBITaxon:11623	Lymphocytic choriomeningitis mammarenavirus	owl:Class		organism		
NCBITaxon:11624	Lymphocytic choriomeningitis virus (strain Armstrong)	owl:Class		organism		
NCBITaxon:11627	Lymphocytic choriomeningitis virus (strain WE)	owl:Class		organism		
NCBITaxon:11628	Machupo mammarenavirus	owl:Class		organism		
NCBITaxon:11636	Reticuloendotheliosis virus	owl:Class		organism		
NCBITaxon:11660	Caprine arthritis encephalitis virus	owl:Class		organism		
NCBITaxon:11665	Equine infectious anemia virus	owl:Class		organism		
NCBITaxon:11673	Feline immunodeficiency virus	owl:Class		organism		
NCBITaxon:11676	Human immunodeficiency virus 1	owl:Class		organism		
NCBITaxon:11709	Human immunodeficiency virus 2	owl:Class		organism		
NCBITaxon:11711	Simian immunodeficiency virus - mac	owl:Class		organism		
NCBITaxon:11712	Simian immunodeficiency virus - sm	owl:Class		organism		
NCBITaxon:11723	Simian immunodeficiency virus	owl:Class		organism		
NCBITaxon:11757	Mouse mammary tumor virus	owl:Class		organism		
NCBITaxon:11768	Feline leukemia virus	owl:Class		organism		
NCBITaxon:11786	Murine leukemia virus	owl:Class		organism		
NCBITaxon:11801	Moloney murine leukemia virus	owl:Class		organism		
NCBITaxon:11827	Human endogenous retrovirus	owl:Class		organism		
NCBITaxon:11864	Avian leukosis virus	owl:Class		organism		
NCBITaxon:11886	Rous sarcoma virus	owl:Class		organism		
NCBITaxon:11901	Bovine leukemia virus	owl:Class		organism		
NCBITaxon:11908	Human T-cell leukemia virus type I	owl:Class		organism	Human T-lymphotropic virus 1	
NCBITaxon:11909	Human T-lymphotropic virus 2	owl:Class		organism		
NCBITaxon:119210	H3N2 subtype	owl:Class		organism		
NCBITaxon:119212	H6N1 subtype	owl:Class		organism		
NCBITaxon:119213	H6N2 subtype	owl:Class		organism		
NCBITaxon:119214	H7N2 subtype	owl:Class		organism		
NCBITaxon:119218	H7N7 subtype	owl:Class		organism		
NCBITaxon:119220	H5N2 subtype	owl:Class		organism		
NCBITaxon:119221	H5N3 subtype	owl:Class		organism		
NCBITaxon:11927	Human T-cell lymphotrophic virus type 1 (Caribbean isolate)	owl:Class		organism		
NCBITaxon:119602	Streptococcus dysgalactiae subsp. equisimilis	owl:Class		organism		
NCBITaxon:11976	Rabbit hemorrhagic disease virus	owl:Class		organism		
NCBITaxon:11983	Norwalk virus	owl:Class		organism		
NCBITaxon:119856	Francisella tularensis subsp. tularensis	owl:Class		organism		
NCBITaxon:12062	Echovirus E6	owl:Class		organism		
NCBITaxon:12064	Enterovirus E	owl:Class		organism		
NCBITaxon:12072	Coxsackievirus B3	owl:Class		organism		
NCBITaxon:12073	Coxsackievirus B4	owl:Class		organism		
NCBITaxon:12075	Swine vesicular disease virus	owl:Class		organism		
NCBITaxon:12080	Human poliovirus 1	owl:Class		organism		
NCBITaxon:12083	Human poliovirus 2	owl:Class		organism		
NCBITaxon:12086	Human poliovirus 3	owl:Class		organism		
NCBITaxon:12098	Human hepatitis A virus Hu/Australia/HM175/1976	owl:Class		organism		
NCBITaxon:12104	Encephalomyocarditis virus	owl:Class		organism		
NCBITaxon:12110	Foot-and-mouth disease virus	owl:Class		organism		
NCBITaxon:12111	Foot-and-mouth disease virus - type A	owl:Class		organism		
NCBITaxon:12113	Foot-and-mouth disease virus (strain A5)	owl:Class		organism		
NCBITaxon:12116	Foot-and-mouth disease virus - type C	owl:Class		organism		
NCBITaxon:12118	Foot-and-mouth disease virus - type O	owl:Class		organism		
NCBITaxon:12121	Foot-and-mouth disease virus C1	owl:Class		organism		
NCBITaxon:12122	Foot-and-mouth disease virus - type SAT 1	owl:Class		organism		
NCBITaxon:12123	Foot-and-mouth disease virus - type SAT 3	owl:Class		organism		
NCBITaxon:12124	Theiler's encephalomyelitis virus	owl:Class		organism		
NCBITaxon:12125	Theiler's encephalomyelitis virus (STRAIN BEAN 8386)	owl:Class		organism		
NCBITaxon:12130	Human rhinovirus A2	owl:Class		organism		
NCBITaxon:12132	Human rhinovirus A89	owl:Class		organism		
NCBITaxon:121759	Paracoccidioides brasiliensis	owl:Class		organism		
NCBITaxon:12211	Plum pox virus	owl:Class		organism		
NCBITaxon:12216	Potato virus Y	owl:Class		organism		
NCBITaxon:12242	Tobacco mosaic virus	owl:Class		organism		
NCBITaxon:122586	Neisseria meningitidis MC58	owl:Class		organism		
NCBITaxon:122928	Norovirus GI	owl:Class		organism		
NCBITaxon:122929	Norovirus GII	owl:Class		organism		
NCBITaxon:12305	Cucumber mosaic virus	owl:Class		organism		
NCBITaxon:12455	Borna disease virus	owl:Class		organism		
NCBITaxon:12461	Hepatitis E virus	owl:Class		organism		
NCBITaxon:12475	Hepatitis delta virus	owl:Class		organism		
NCBITaxon:12639	Duck hepatitis B virus	owl:Class		organism		
NCBITaxon:12643	Ectromelia virus	owl:Class		organism		
NCBITaxon:12657	Equid gammaherpesvirus 2	owl:Class		organism		
NCBITaxon:127906	Vibrio cholerae O1	owl:Class		organism		
NCBITaxon:127960	H11N1 subtype	owl:Class		organism		
NCBITaxon:1280	Staphylococcus aureus	owl:Class		organism		
NCBITaxon:12870	Variola major virus	owl:Class		organism		
NCBITaxon:129138	Pseudomonas amygdali pv. morsprunorum	owl:Class		organism		
NCBITaxon:129140	Pseudomonas syringae pv. tagetis	owl:Class		organism		
NCBITaxon:1301	Streptococcus	owl:Class		organism		
NCBITaxon:1303	Streptococcus oralis	owl:Class		organism		
NCBITaxon:1304	Streptococcus salivarius	owl:Class		organism		
NCBITaxon:1305	Streptococcus sanguinis	owl:Class		organism		
NCBITaxon:1307	Streptococcus suis	owl:Class		organism		
NCBITaxon:1309	Streptococcus mutans	owl:Class		organism		
NCBITaxon:1310	Streptococcus sobrinus	owl:Class		organism		
NCBITaxon:1311	Streptococcus agalactiae	owl:Class		organism		
NCBITaxon:1313	Streptococcus pneumoniae	owl:Class		organism		
NCBITaxon:1314	Streptococcus pyogenes	owl:Class		organism		
NCBITaxon:1317	Streptococcus downei	owl:Class		organism		
NCBITaxon:13187	Parietaria officinalis	owl:Class		organism		
NCBITaxon:1319	Streptococcus sp. 'group B'	owl:Class		organism		
NCBITaxon:132504	Influenza A virus (A/X-31(H3N2))	owl:Class		organism		
NCBITaxon:1328	Streptococcus anginosus	owl:Class		organism		
NCBITaxon:13286	Theromyzon tessulatum	owl:Class		organism		
NCBITaxon:1333	Streptococcus criceti	owl:Class		organism		
NCBITaxon:1334	Streptococcus dysgalactiae	owl:Class		organism		
NCBITaxon:133704	Porcine circovirus 1	owl:Class		organism		
NCBITaxon:1341	Streptococcus ratti	owl:Class		organism		
NCBITaxon:13415	Chamaecyparis obtusa	owl:Class		organism		
NCBITaxon:13451	Corylus avellana	owl:Class		organism		
NCBITaxon:134537	Paraburkholderia fungorum	owl:Class		organism		
NCBITaxon:1346520	Human parvovirus	owl:Class		organism		
NCBITaxon:135720	Neisseria meningitidis serogroup C	owl:Class		organism		
NCBITaxon:137544	Concholepas concholepas	owl:Class		organism		
NCBITaxon:1384672	Mumps virus genotype G	owl:Class		organism		
NCBITaxon:138948	Enterovirus A	owl:Class		organism		
NCBITaxon:139	Borreliella burgdorferi	owl:Class		organism		
NCBITaxon:1390	Bacillus amyloliquefaciens	owl:Class		organism		
NCBITaxon:1392	Bacillus anthracis	owl:Class		organism		
NCBITaxon:1399582	Duck Tembusu virus	owl:Class		organism		
NCBITaxon:1423	Bacillus subtilis	owl:Class		organism		
NCBITaxon:142786	Norovirus	owl:Class		organism		
NCBITaxon:1428	Bacillus thuringiensis	owl:Class		organism		
NCBITaxon:142943	H8N4 subtype	owl:Class		organism		
NCBITaxon:142951	H12N5 subtype	owl:Class		organism		
NCBITaxon:1491	Clostridium botulinum	owl:Class		organism		
NCBITaxon:149539	Salmonella enterica subsp. enterica serovar Enteritidis	owl:Class		organism		
NCBITaxon:1496	Clostridioides difficile	owl:Class		organism		
NCBITaxon:1502	Clostridium perfringens	owl:Class		organism		
NCBITaxon:1513	Clostridium tetani	owl:Class		organism		
NCBITaxon:1520	Clostridium beijerinckii	owl:Class		organism		
NCBITaxon:1570291	Ebola virus	owl:Class		organism		
NCBITaxon:157802	H3N1 subtype	owl:Class		organism		
NCBITaxon:158877	Yokenella regensburgei	owl:Class		organism		
NCBITaxon:15957	Phleum pratense	owl:Class		organism		
NCBITaxon:160	Treponema pallidum	owl:Class		organism		
NCBITaxon:161	Treponema pallidum subsp. pallidum	owl:Class		organism		
NCBITaxon:162145	Human metapneumovirus	owl:Class		organism		
NCBITaxon:1639	Listeria monocytogenes	owl:Class		organism		
NCBITaxon:1642	Listeria innocua	owl:Class		organism		
NCBITaxon:1661	Trueperella pyogenes	owl:Class		organism		
NCBITaxon:168014	Equine rhinitis B virus 2	owl:Class		organism		
NCBITaxon:1685	Bifidobacterium breve	owl:Class		organism		
NCBITaxon:1717	Corynebacterium diphtheriae	owl:Class		organism		
NCBITaxon:171929	Anacardium occidentale	owl:Class		organism		
NCBITaxon:173	Leptospira interrogans	owl:Class		organism		
NCBITaxon:1763	Mycobacterium	owl:Class		organism		
NCBITaxon:1764	Mycobacterium avium	owl:Class		organism		
NCBITaxon:1765	Mycobacterium tuberculosis variant bovis	owl:Class		organism	Mycobacterium bovis	
NCBITaxon:1768	Mycobacterium kansasii	owl:Class		organism		
NCBITaxon:1769	Mycobacterium leprae	owl:Class		organism		
NCBITaxon:1770	Mycobacterium avium subsp. paratuberculosis	owl:Class		organism		
NCBITaxon:1772	Mycolicibacterium smegmatis	owl:Class		organism	Mycobacterium smegmatis	
NCBITaxon:1773	Mycobacterium tuberculosis	owl:Class		organism		
NCBITaxon:1777	Mycobacterium gastri	owl:Class		organism		
NCBITaxon:1783	Mycobacterium scrofulaceum	owl:Class		organism		
NCBITaxon:183666	H10N5 subtype	owl:Class		organism		
NCBITaxon:185580	Hepatitis E virus type 4	owl:Class		organism		
NCBITaxon:187410	Yersinia pestis KIM10+	owl:Class		organism		
NCBITaxon:1891762	Human polyomavirus 1	owl:Class		organism		
NCBITaxon:1891767	Macaca mulatta polyomavirus 1	owl:Class		organism		
NCBITaxon:192087	Pseudomonas syringae pv. atrofaciens	owl:Class		organism		
NCBITaxon:195316	Narcine timlei	owl:Class		organism		
NCBITaxon:197	Campylobacter jejuni	owl:Class		organism		
NCBITaxon:1980456	Andes orthohantavirus	owl:Class		organism		
NCBITaxon:1980471	Hantaan orthohantavirus	owl:Class		organism	Hantaan hantavirus	
NCBITaxon:1980486	Puumala orthohantavirus	owl:Class		organism	Puumala hantavirus	
NCBITaxon:1980491	Sin Nombre orthohantavirus	owl:Class		organism		
NCBITaxon:1980519	Crimean-Congo hemorrhagic fever orthonairovirus	owl:Class		organism		
NCBITaxon:199306	Coccidioides posadasii	owl:Class		organism		
NCBITaxon:208726	Human hepatitis A virus	owl:Class		organism		
NCBITaxon:208893	Human respiratory syncytial virus A	owl:Class		organism		
NCBITaxon:208895	Human respiratory syncytial virus B	owl:Class		organism		
NCBITaxon:2096	Mycoplasma gallisepticum	owl:Class		organism		
NCBITaxon:2099	Mycoplasma hyopneumoniae	owl:Class		organism		
NCBITaxon:210	Helicobacter pylori	owl:Class		organism		
NCBITaxon:215851	H3N3 subtype	owl:Class		organism		
NCBITaxon:216495	Streptococcus agalactiae serogroup III	owl:Class		organism		
NCBITaxon:2169700	Pseudomonas virus PRD1	owl:Class		organism		
NCBITaxon:2169971	Visna-maedi virus	owl:Class		organism		
NCBITaxon:2169991	Argentinian mammarenavirus	owl:Class		organism		
NCBITaxon:2169992	Brazilian mammarenavirus	owl:Class		organism	Sabia mammarenavirus	
NCBITaxon:2169993	Cali mammarenavirus	owl:Class		organism		
NCBITaxon:217992	Escherichia coli O6	owl:Class		organism		
NCBITaxon:222772	H10N4 subtype	owl:Class		organism		
NCBITaxon:223337	Tobacco leaf curl Zimbabwe virus	owl:Class		organism		
NCBITaxon:223997	Murine norovirus 1	owl:Class		organism		
NCBITaxon:235	Brucella abortus	owl:Class		organism		
NCBITaxon:235544	Norovirus genogroup 1 isolates	owl:Class		organism		
NCBITaxon:236	Brucella ovis	owl:Class		organism		
NCBITaxon:246618	Bifidobacterium thermacidophilum	owl:Class		organism		
NCBITaxon:246878	Canine parvovirus 2	owl:Class		organism		
NCBITaxon:251654	Pseudomonas syringae pv. helianthi	owl:Class		organism		
NCBITaxon:254355	Small ruminant lentivirus	owl:Class		organism		
NCBITaxon:257313	Bordetella pertussis Tohama I	owl:Class		Bordetella pertussis		
NCBITaxon:260799	Bacillus anthracis str. Sterne	owl:Class		organism		
NCBITaxon:263	Francisella tularensis	owl:Class		organism		
NCBITaxon:265872	Cowpox virus (Brighton Red)	owl:Class		organism		
NCBITaxon:2697049	Severe acute respiratory syndrome coronavirus 2	owl:Class		organism		
NCBITaxon:272636	Adeno-associated virus	owl:Class		organism		
NCBITaxon:28090	Acinetobacter lwoffii	owl:Class		organism		
NCBITaxon:28116	Bacteroides ovatus	owl:Class		organism		
NCBITaxon:28227	Mycoplasma penetrans	owl:Class		organism		
NCBITaxon:28285	Human adenovirus 5	owl:Class		organism		
NCBITaxon:28295	Porcine epidemic diarrhea virus	owl:Class		organism		
NCBITaxon:28314	Aleutian mink disease virus	owl:Class		organism		
NCBITaxon:28344	Porcine reproductive and respiratory syndrome virus	owl:Class		organism		
NCBITaxon:283801	Plasmodium yoelii killicki	owl:Class		organism		
NCBITaxon:28450	Burkholderia pseudomallei	owl:Class		organism		
NCBITaxon:287	Pseudomonas aeruginosa	owl:Class		organism		
NCBITaxon:28901	Salmonella enterica	owl:Class		organism		
NCBITaxon:28909	Cynodon dactylon	owl:Class		organism		
NCBITaxon:29159	Crassostrea gigas	owl:Class		organism		
NCBITaxon:29430	Acinetobacter haemolyticus	owl:Class		organism		
NCBITaxon:29459	Brucella melitensis	owl:Class		organism		
NCBITaxon:29518	Borreliella afzelii	owl:Class		organism		
NCBITaxon:29519	Borreliella garinii	owl:Class		organism		
NCBITaxon:29661	Anthoxanthum odoratum	owl:Class		organism		
NCBITaxon:29715	Ambrosia psilostachya	owl:Class		organism		
NCBITaxon:29960	Penaeus indicus	owl:Class		organism	Fenneropenaeus indicus	
NCBITaxon:301448	Streptococcus pyogenes serotype M3	owl:Class		organism		
NCBITaxon:301450	Streptococcus pyogenes serotype M6	owl:Class		organism		
NCBITaxon:303	Pseudomonas putida	owl:Class		organism		
NCBITaxon:309405	H14N6 subtype	owl:Class		organism		
NCBITaxon:310542	Chimpanzee adenovirus	owl:Class		organism		
NCBITaxon:312185	Erbovirus A	owl:Class		organism		
NCBITaxon:31286	Trypanosoma brucei rhodesiense	owl:Class		organism		
NCBITaxon:31560	Infectious bursal disease virus E	owl:Class		organism		
NCBITaxon:31604	Small ruminant morbillivirus	owl:Class		organism	Peste-des-petits-ruminants virus	
NCBITaxon:31646	Hepatitis C virus subtype 1a	owl:Class		organism		
NCBITaxon:31647	Hepatitis C virus subtype 1b	owl:Class		organism		
NCBITaxon:31649	Hepatitis C virus subtype 2a	owl:Class		organism		
NCBITaxon:31650	Hepatitis C virus subtype 2b	owl:Class		organism		
NCBITaxon:31655	Hepatitis C virus subtype 6a	owl:Class		organism		
NCBITaxon:31704	Coxsackievirus A16	owl:Class		organism		
NCBITaxon:318	Pseudomonas savastanoi pv. glycinea	owl:Class		organism		
NCBITaxon:319	Pseudomonas savastanoi pv. phaseolicola	owl:Class		organism		
NCBITaxon:32019	Campylobacter fetus subsp. fetus	owl:Class		organism		
NCBITaxon:32022	Campylobacter jejuni subsp. jejuni	owl:Class		organism		
NCBITaxon:32544	Dasyuroides byrnei	owl:Class		organism		
NCBITaxon:32595	Babesia divergens	owl:Class		organism		
NCBITaxon:32603	Human betaherpesvirus 6A	owl:Class		organism		
NCBITaxon:32604	Human betaherpesvirus 6B	owl:Class		organism		
NCBITaxon:32644	unidentified	owl:Class		organism		
NCBITaxon:329091	Cupressus torulosa	owl:Class		organism		
NCBITaxon:329852	Escherichia virus MS2	owl:Class		organism		
NCBITaxon:33127	Parietaria judaica	owl:Class		organism		
NCBITaxon:33178	Aspergillus terreus	owl:Class		organism		
NCBITaxon:332162	Candidatus Solibacter	owl:Class		organism		
NCBITaxon:333745	Chaetonerius	owl:Class		organism		
NCBITaxon:333760	Human papillomavirus type 16	owl:Class		organism		
NCBITaxon:333761	Human papillomavirus type 18	owl:Class		organism		
NCBITaxon:334203	Mupapillomavirus 1	owl:Class		organism		
NCBITaxon:3352	Pinus taeda	owl:Class		organism		
NCBITaxon:3369	Cryptomeria japonica	owl:Class		organism		
NCBITaxon:33706	Caviid betaherpesvirus 2	owl:Class		organism		
NCBITaxon:33708	Murid gammaherpesvirus 4	owl:Class		organism		
NCBITaxon:33745	Hepatitis C virus genotype 4	owl:Class		organism		
NCBITaxon:33746	Hepatitis C virus genotype 5	owl:Class		organism		
NCBITaxon:33892	Mycobacterium tuberculosis variant bovis BCG	owl:Class		organism		
NCBITaxon:33959	Lactobacillus johnsonii	owl:Class		organism		
NCBITaxon:340017	Norovirus GIII	owl:Class		organism		
NCBITaxon:34054	Yersinia enterocolitica (type O:8)	owl:Class		organism		
NCBITaxon:342023	Streptococcus pyogenes serotype M12	owl:Class		organism		
NCBITaxon:34504	Paragonimus westermani	owl:Class		organism		
NCBITaxon:34632	Rhipicephalus sanguineus	owl:Class		organism		
NCBITaxon:3505	Betula pendula	owl:Class		organism		
NCBITaxon:351680	Measles virus genotypes and isolates	owl:Class		organism		
NCBITaxon:35244	Bovine alphaherpesvirus 5	owl:Class		organism		
NCBITaxon:352914	Plasmodium yoelii yoelii 17XNL	owl:Class		organism		
NCBITaxon:35292	Foot-and-mouth disease virus - type SAT 2	owl:Class		organism		
NCBITaxon:35336	Rotavirus G4	owl:Class		organism		
NCBITaxon:356387	Hepatitis C virus subtype 2i	owl:Class		organism		
NCBITaxon:356426	Hepatitis C virus subtype 3a	owl:Class		organism		
NCBITaxon:35797	Nitrococcus mobilis	owl:Class		organism		
NCBITaxon:358	Agrobacterium tumefaciens	owl:Class		organism		
NCBITaxon:358770	Classical swine fever virus isolates	owl:Class		organism		
NCBITaxon:360108	Campylobacter jejuni subsp. jejuni 260.94	owl:Class		organism		
NCBITaxon:3617	Fagopyrum esculentum	owl:Class		organism		
NCBITaxon:36420	H1N1 swine influenza virus	owl:Class		organism		
NCBITaxon:3645	Bertholletia excelsa	owl:Class		organism		
NCBITaxon:36826	Clostridium botulinum A	owl:Class		organism		
NCBITaxon:36827	Clostridium botulinum B	owl:Class		organism		
NCBITaxon:36828	Clostridium botulinum C	owl:Class		organism		
NCBITaxon:36829	Clostridium botulinum D	owl:Class		organism		
NCBITaxon:36830	Clostridium botulinum E	owl:Class		organism		
NCBITaxon:36831	Clostridium botulinum F	owl:Class		organism		
NCBITaxon:3694	Populus trichocarpa	owl:Class		organism		
NCBITaxon:3702	Arabidopsis thaliana	owl:Class		organism		
